cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key,in_cmip_core
LImon,rlusIs,Ice Sheet Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,LImon/rlusIs,LImon/rlusIs,FALSE
LImon,rsdsIs,Ice Sheet Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,LImon/rsdsIs,LImon/rsdsIs,FALSE
LImon,rsusIs,Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,LImon/rsusIs,LImon/rsusIs,FALSE
LImon,sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,LImon/sbl,LImon/sbl,TRUE
Amon,sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,LImon/sbl,Amon/sbl,TRUE
LImon,sftflf,Floating Ice Shelf Area Percentage,floating_ice_shelf_area_fraction,%,LImon/sftflf,LImon/sftflf,TRUE
LImon,sftgrf,Grounded Ice Sheet Area Percentage,grounded_ice_sheet_area_fraction,%,LImon/sftgrf,LImon/sftgrf,TRUE
LImon,snc,Snow Area Percentage,surface_snow_area_fraction,%,LImon/snc,LImon/snc,TRUE
LImon,snd,Snow Depth,surface_snow_thickness,m,LImon/snd,LImon/snd,TRUE
LImon,snw,Surface Snow Amount,surface_snow_amount,kg m-2,LImon/snw,LImon/snw,TRUE
LImon,tsn,Snow Internal Temperature,temperature_in_surface_snow,K,LImon/tsn,LImon/tsn,TRUE
Eday,albsn,Snow Albedo,surface_albedo,1,LPday/alsbn,Eday/albsn,FALSE
Eday,mrrob,Subsurface Runoff,subsurface_runoff_flux,kg m-2 s-1,LPday/mrrob,Eday/mrrob,FALSE
day,mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,LPday/mrso,day/mrso,TRUE
day,mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2,LPday/mrsos,day/mrsos,TRUE
Efx,fldcapacity,Field Capacity,volume_fraction_of_condensed_water_in_soil_at_field_capacity,%,LPfx/fldcapacity,Efx/fldcapacity,FALSE
fx,mrsofc,Capacity of Soil to Store Water (Field Capacity),soil_moisture_content_at_field_capacity,kg m-2,LPfx/mrsofc,fx/mrsofc,FALSE
fx,rootd,Maximum Root Depth,root_depth,m,LPfx/rootd,fx/rootd,FALSE
Efx,slthick,Thickness of Soil Layers,cell_thickness,m,LPfx/slthick,Efx/slthick,FALSE
Efx,wilt,Wilting Point,volume_fraction_of_condensed_water_in_soil_at_wilting_point,%,LPfx/wilt,Efx/wilt,FALSE
Lmon,baresoilFrac,Bare Soil Percentage Area Coverage,area_fraction,%,LPmon/baresoilFrac,Lmon/baresoilFrac,TRUE
Lmon,burntFractionAll,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),area_fraction,%,LPmon/burntFractionAll,Lmon/burntFractionAll,TRUE
Emon,cLand,Total Carbon in All Terrestrial Carbon Pools,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,LPmon/cLand,Emon/cLand,FALSE
Lmon,cLeaf,Carbon Mass in Leaves,leaf_mass_content_of_carbon,kg m-2,LPmon/cLeaf,Lmon/cLeaf,FALSE
Lmon,cLitter,Carbon Mass in Litter Pool,litter_mass_content_of_carbon,kg m-2,LPmon/cLitter,Lmon/cLitter,TRUE
Lmon,cProduct,Carbon Mass in Products of Land-Use Change,carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,LPmon/cProduct,Lmon/cProduct,TRUE
Lmon,cRoot,Carbon Mass in Roots,root_mass_content_of_carbon,kg m-2,LPmon/cRoot,Lmon/cRoot,FALSE
Emon,cSoil,Carbon Mass in Model Soil Pool,soil_mass_content_of_carbon,kg m-2,LPmon/cSoil,Emon/cSoil,TRUE
Emon,cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),soil_mass_content_of_carbon,kg m-2,LPmon/cSoilLevels,Emon/cSoilLevels,FALSE
Lmon,cVeg,Carbon Mass in Vegetation,vegetation_carbon_content,kg m-2,LPmon/cVeg,Lmon/cVeg,TRUE
Emon,cWood,Carbon Mass in Wood,stem_mass_content_of_carbon,kg m-2,LPmon/cWood,Emon/cWood,FALSE
Emon,evspsblpot,Potential Evapotranspiration,water_potential_evaporation_flux,kg m-2 s-1,LPmon/evspsblpot,Emon/evspsblpot,FALSE
Lmon,evspsblsoi,Water Evaporation from Soil,water_evaporation_flux_from_soil,kg m-2 s-1,LPmon/evspsblsoi,Lmon/evspsblsoi,TRUE
