variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
forcing,APday/rsus,day/rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,day,rsus,TRUE
forcing,APday/sfcWind,day/sfcWind,Daily-Mean Near-Surface Wind Speed,wind_speed,m s-1,day,sfcWind,TRUE
forcing,APday/tas,day/tas,Near-Surface Air Temperature,air_temperature,K,day,tas,TRUE
forcing,APday/tasmax,day/tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K,day,tasmax,TRUE
forcing,APday/tasmin,day/tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,day,tasmin,TRUE
forcing,APday/ts,Eday/ts,Surface Temperature,surface_temperature,K,Eday,ts,FALSE
forcing,APday/uas,day/uas,Eastward Near-Surface Wind,eastward_wind,m s-1,day,uas,TRUE
forcing,APday/vas,day/vas,Northward Near-Surface Wind,northward_wind,m s-1,day,vas,TRUE
forcing,APfx/sftlf,fx/sftlf,Percentage of the Grid Cell Occupied by Land (Including Lakes),land_area_fraction,%,fx,sftlf,FALSE
forcing,APmon/co2,Amon/co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,Amon,co2,TRUE
forcing,APmon/co2s,Emon/co2s,Atmosphere CO2,mole_fraction_of_carbon_dioxide_in_air,0.000001,Emon,co2s,FALSE
forcing,APmon/evspsbl,Amon/evspsbl,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,kg m-2 s-1,Amon,evspsbl,TRUE
forcing,APmon/hfls,Amon/hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,Amon,hfls,TRUE
forcing,APmon/hfss,Amon/hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,Amon,hfss,TRUE
forcing,APmon/huss,Amon/huss,Near-Surface Specific Humidity,specific_humidity,1,Amon,huss,TRUE
forcing,APmon/pr,Amon/pr,Precipitation,precipitation_flux,kg m-2 s-1,Amon,pr,TRUE
forcing,APmon/prsn,Amon/prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,Amon,prsn,TRUE
forcing,APmon/ps,Amon/ps,Surface Air Pressure,surface_air_pressure,Pa,Amon,ps,TRUE
forcing,APmon/psl,Amon/psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,Amon,psl,TRUE
forcing,APmon/rlds,Amon/rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,Amon,rlds,TRUE
forcing,APmon/rlus,Amon/rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,Amon,rlus,TRUE
forcing,APmon/rsds,Amon/rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,Amon,rsds,TRUE
forcing,APmon/rsus,Amon/rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,Amon,rsus,TRUE
forcing,Apmon/sfcWind,Amon/sfcWind,Near-Surface Wind Speed,wind_speed,m s-1,Amon,sfcWind,TRUE
forcing,APmon/sfcWindmax,Emon/sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1,Emon,sfcWindmax,FALSE
forcing,APmon/tas,Amon/tas,Near-Surface Air Temperature,air_temperature,K,Amon,tas,TRUE
forcing,APmon/ts,Amon/ts,Surface Temperature,surface_temperature,K,Amon,ts,TRUE
esm-diagnostic,APday/clt,day/clt,Total Cloud Cover Percentage,cloud_area_fraction,%,day,clt,TRUE
esm-diagnostic,APday/hfls,day/hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,day,hfls,TRUE
esm-diagnostic,APday/hfss,day/hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,day,hfss,TRUE
esm-diagnostic,APday/hur,day/hur,Relative Humidity,relative_humidity,%,day,hur,TRUE
