variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
forcing,LPmon/pastureFrac,Lmon/pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,area_fraction,%,Lmon,pastureFrac,TRUE
forcing,LPmon/ra,Lmon/ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Lmon,ra,TRUE
forcing,LPmon/residualFrac,Lmon/residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,area_fraction,%,Lmon,residualFrac,TRUE
forcing,LPmon/rh,Lmon/rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Lmon,rh,TRUE
forcing,LPmon/rhSoil,Emon/rhSoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,kg m-2 s-1,Emon,rhSoil,FALSE
forcing,LPmon/sftgif,LImon/sftgif,Land Ice Area Percentage,land_ice_area_fraction,%,LImon,sftgif,TRUE
forcing,LPmon/shrubFrac,Lmon/shrubFrac,Percentage Cover by Shrub,area_fraction,%,Lmon,shrubFrac,TRUE
forcing,LPmon/tran,Lmon/tran,Transpiration,transpiration_flux,kg m-2 s-1,Lmon,tran,TRUE
forcing,LPmon/treeFrac,Lmon/treeFrac,Tree Cover Percentage,area_fraction,%,Lmon,treeFrac,TRUE
forcing,LPmon/tsl,Lmon/tsl,Temperature of Soil,soil_temperature,K,Lmon,tsl,FALSE
forcing,LPmon/vegFrac,Emon/vegFrac,Total Vegetated Percentage Cover,area_fraction,%,Emon,vegFrac,TRUE
forcing,LPmon/wetlandFrac,Emon/wetlandFrac,Wetland Percentage Cover,area_fraction,%,Emon,wetlandFrac,TRUE
esm-diagnostic,OPday/tossq,Oday/tossq,Square of Sea Surface Temperature,square_of_sea_surface_temperature,degC2,Oday,tossq,TRUE
esm-diagnostic,OBmon/chlos,Omon/chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Omon,chlos,TRUE
esm-diagnostic,OBmon/epc100,Omon/epc100,Downward Flux of Particulate Organic Carbon,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,mol m-2 s-1,Omon,epc100,TRUE
esm-diagnostic,OBmon/epcalc100,Omon/epcalc100,Downward Flux of Calcite,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Omon,epcalc100,TRUE
esm-diagnostic,OBmon/fgco2,Omon/fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,kg m-2 s-1,Omon,fgco2,TRUE
esm-diagnostic,OBmon/fgo2,Omon/fgo2,Surface Downward Flux of O2,surface_downward_mole_flux_of_molecular_oxygen,mol m-2 s-1,Omon,fgo2,TRUE
esm-diagnostic,OBmon/intpp,Omon/intpp,Primary Organic Carbon Production by All Types of Phytoplankton,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,mol m-2 s-1,Omon,intpp,TRUE
esm-diagnostic,OBmon/no3os,Omon/no3os,Surface Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3,Omon,no3os,TRUE
esm-diagnostic,OBmon/o2os,Omon/o2os,Surface Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Omon,o2os,TRUE
esm-diagnostic,OPmonLev/obvfsq,Omon/obvfsq,Square of Brunt Vaisala Frequency in Sea Water,square_of_brunt_vaisala_frequency_in_sea_water,s-2,Omon,obvfsq,TRUE
esm-diagnostic,OBmon/po4os,Omon/po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Omon,po4os,TRUE
esm-diagnostic,OPmon/sob,Omon/sob,Sea Water Salinity at Sea Floor,sea_water_salinity_at_sea_floor,0.001,Omon,sob,TRUE
esm-diagnostic,OPmon/soga,Omon/soga,Global Mean Sea Water Salinity,sea_water_salinity,0.001,Omon,soga,TRUE
esm-diagnostic,OPmon/sosga,Omon/sosga,Global Average Sea Surface Salinity,sea_surface_salinity,0.001,Omon,sosga,TRUE
esm-diagnostic,OBmon/spco2,Omon/spco2,Surface Aqueous Partial Pressure of CO2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,Omon,spco2,TRUE
esm-diagnostic,OBmonLev/talk,Omon/talk,Total Alkalinity,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,Omon,talk,TRUE
esm-diagnostic,OPmon/tauuo,Omon/tauuo,Sea Water Surface Downward X Stress,downward_x_stress_at_sea_water_surface,N m-2,Omon,tauuo,TRUE
esm-diagnostic,OPmon/tauvo,Omon/tauvo,Sea Water Surface Downward Y Stress,downward_y_stress_at_sea_water_surface,N m-2,Omon,tauvo,TRUE
esm-diagnostic,OPmon/thetaoga,Omon/thetaoga,Global Average Sea Water Potential Temperature,sea_water_potential_temperature,degC,Omon,thetaoga,TRUE
esm-diagnostic,OPmon/tob,Omon/tob,Sea Water Potential Temperature at Sea Floor,sea_water_potential_temperature_at_sea_floor,degC,Omon,tob,TRUE
esm-diagnostic,OPmon/tosga,Omon/tosga,Global Average Sea Surface Temperature,sea_surface_temperature,degC,Omon,tosga,TRUE
esm-diagnostic,OPmonLev/wmo,Omon/wmo,Upward Ocean Mass Transport,upward_ocean_mass_transport,kg s-1,Omon,wmo,TRUE
esm-diagnostic,OPmonLev/wo,Omon/wo,Sea Water Vertical Velocity,upward_sea_water_velocity,m s-1,Omon,wo,TRUE
esm-diagnostic,OPmon/zostoga,Omon/zostoga,Global Average Thermosteric Sea Level Change,global_average_thermosteric_sea_level_change,m,Omon,zostoga,TRUE
forcing,OPday/tos,Oday/tos,Sea Surface Temperature,sea_surface_temperature,degC,Oday,tos,TRUE
forcing,OPmon/evs,Omon/evs,Water Evaporation Flux Where Ice Free Ocean over Sea,water_evapotranspiration_flux,kg m-2 s-1,Omon,evs,FALSE
forcing,OPmon/friver,Omon/friver,Water Flux into Sea Water from Rivers,water_flux_into_sea_water_from_rivers,kg m-2 s-1,Omon,friver,FALSE
forcing,OPmon/hfds,Omon/hfds,Downward Heat Flux at Sea Water Surface,surface_downward_heat_flux_in_sea_water,W m-2,Omon,hfds,TRUE
forcing,OPmon/hfx,Omon/hfx,Ocean Heat X Transport,ocean_heat_x_transport,W,Omon,hfx,FALSE
forcing,OPmon/hfy,Omon/hfy,Ocean Heat Y Transport,ocean_heat_y_transport,W,Omon,hfy,FALSE
forcing,OPmon/masso,Omon/masso,Sea Water Mass,sea_water_mass,kg,Omon,masso,TRUE
forcing,OPmon/mlotst,Omon/mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,Omon,mlotst,TRUE
forcing,OPmon/mlotstmax,Omon/mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,Omon,mlotstmax,TRUE
forcing,OPmon/mlotstmin,Omon/mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,Omon,mlotstmin,TRUE
forcing,OPmon/msftbarot,Omon/msftbarot,Ocean Barotropic Mass Streamfunction,ocean_barotropic_mass_streamfunction,kg s-1,Omon,msftbarot,TRUE
forcing,OPmon/pbo,Omon/pbo,Sea Water Pressure at Sea Floor,sea_water_pressure_at_sea_floor,Pa,Omon,pbo,TRUE
forcing,OPmon/sos,Omon/sos,Sea Surface Salinity,sea_surface_salinity,0.001,Omon,sos,TRUE
forcing,OPmon/tos,Omon/tos,Sea Surface Temperature,sea_surface_temperature,degC,Omon,tos,TRUE
forcing,OPmon/volo,Omon/volo,Sea Water Volume,sea_water_volume,m3,Omon,volo,TRUE
forcing,OPmon/wfo,Omon/wfo,Water Flux into Sea Water,water_flux_into_sea_water,kg m-2 s-1,Omon,wfo,TRUE
forcing,OPmon/zos,Omon/zos,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,m,Omon,zos,TRUE
forcing,OPmonLev/masscello,Omon/masscello,Ocean Grid-Cell Mass per Area,sea_water_mass_per_unit_area,kg m-2,Omon,masscello,TRUE
forcing,OPmonLev/msftyz,Omon/msftyz,Ocean Y Overturning Mass Streamfunction,ocean_y_overturning_mass_streamfunction,kg s-1,Omon,msftyz,TRUE
forcing,OPmonLev/so,Omon/so,Sea Water Salinity,sea_water_salinity,0.001,Omon,so,TRUE
forcing,OPmonLev/thetao,Omon/thetao,Sea Water Potential Temperature,sea_water_potential_temperature,degC,Omon,thetao,TRUE
forcing,OPmonLev/thkcello,Omon/thkcello,Ocean Model Cell Thickness,cell_thickness,m,Omon,thkcello,FALSE
forcing,OPmonLev/umo,Omon/umo,Ocean Mass X Transport,ocean_mass_x_transport,kg s-1,Omon,umo,TRUE
forcing,OPmonLev/uo,Omon/uo,Sea Water X Velocity,sea_water_x_velocity,m s-1,Omon,uo,TRUE
forcing,OPmonLev/vmo,Omon/vmo,Ocean Mass Y Transport,ocean_mass_y_transport,kg s-1,Omon,vmo,TRUE
forcing,OPmonLev/vo,Omon/vo,Sea Water Y Velocity,sea_water_y_velocity,m s-1,Omon,vo,TRUE
forcing,OPmonZ/hfbasin,Omon/hfbasin,Northward Ocean Heat Transport,northward_ocean_heat_transport,W,Omon,hfbasin,TRUE
forcing,OPmonZ/hfbasinpmadv,Omon/hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection,W,Omon,hfbasinpmadv,TRUE
forcing,OPmonZ/htovgyre,Omon/htovgyre,Northward Ocean Heat Transport Due to Gyre,northward_ocean_heat_transport_due_to_gyre,W,Omon,htovgyre,FALSE
forcing,OPmonZ/htovovrt,Omon/htovovrt,Northward Ocean Heat Transport Due to Overturning,northward_ocean_heat_transport_due_to_overturning,W,Omon,htovovrt,FALSE
forcing,OPmonZ/msftmz,Omon/msftmz,Ocean Meridional Overturning Mass Streamfunction,ocean_meridional_overturning_mass_streamfunction,kg s-1,Omon,msftmz,TRUE
forcing,OPmonZ/sltovgyre,Omon/sltovgyre,Northward Ocean Salt Transport Due to Gyre,northward_ocean_salt_transport_due_to_gyre,kg s-1,Omon,sltovgyre,FALSE
forcing,OPmonZ/sltovovrt,Omon/sltovovrt,Northward Ocean Salt Transport Due to Overturning,northward_ocean_salt_transport_due_to_overturning,kg s-1,Omon,sltovovrt,FALSE
esm-diagnostic,OByrLev/dfe,Oyr/dfe,Dissolved Iron Concentration,mole_concentration_of_dissolved_iron_in_sea_water,mol m-3,Oyr,dfe,TRUE
esm-diagnostic,OByrLev/no3,Oyr/no3,Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3,Oyr,no3,TRUE
esm-diagnostic,OByrLev/o2,Oyr/o2,Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Oyr,o2,TRUE
esm-diagnostic,OByrLev/po4,Oyr/po4,Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Oyr,po4,TRUE
esm-diagnostic,OByrLev/si,Oyr/si,Total Dissolved Inorganic Silicon Concentration,mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,mol m-3,Oyr,si,TRUE
esm-diagnostic,SIday/siconca,SIday/siconca,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,%,SIday,siconca,TRUE
esm-diagnostic,SIday/sithick,SIday/sithick,Sea Ice Thickness,sea_ice_thickness,m,SIday,sithick,TRUE
esm-diagnostic,SIday/siu,SIday/siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1,SIday,siu,TRUE
esm-diagnostic,SIday/siv,SIday/siv,Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,m s-1,SIday,siv,TRUE
esm-diagnostic,SImon/siconc,SImon/siconc,Sea-Ice Area Percentage (Ocean Grid),sea_ice_area_fraction,%,SImon,siconc,TRUE
esm-diagnostic,SImon/siconca,SImon/siconca,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,%,SImon,siconca,TRUE
esm-diagnostic,SImon/simass,SImon/simass,Sea-Ice Mass per Area,sea_ice_amount,kg m-2,SImon,simass,TRUE
esm-diagnostic,SImon/simpconc,SImon/simpconc,Percentage Cover of Sea Ice by Meltpond,area_fraction,%,SImon,simpconc,TRUE
esm-diagnostic,SImon/sirdgconc,SImon/sirdgconc,Percentage Cover of Sea Ice by Ridging,area_fraction,1,SImon,sirdgconc,TRUE
esm-diagnostic,SImon/sisnconc,SImon/sisnconc,Snow Area Percentage,surface_snow_area_fraction,%,SImon,sisnconc,TRUE
esm-diagnostic,SImon/sisnmass,SImon/sisnmass,Snow Mass per Area,liquid_water_content_of_surface_snow,kg m-2,SImon,sisnmass,TRUE
esm-diagnostic,SImon/sisnthick,SImon/sisnthick,Snow Thickness,surface_snow_thickness,m,SImon,sisnthick,TRUE
esm-diagnostic,SImon/sispeed,SImon/sispeed,Sea-Ice Speed,sea_ice_speed,m s-1,SImon,sispeed,TRUE
esm-diagnostic,SImon/sitemptop,SImon/sitemptop,Surface Temperature of Sea Ice,sea_ice_surface_temperature,K,SImon,sitemptop,TRUE
esm-diagnostic,SImon/sithick,SImon/sithick,Sea Ice Thickness,sea_ice_thickness,m,SImon,sithick,TRUE
esm-diagnostic,SImon/sitimefrac,SImon/sitimefrac,Fraction of Time Steps with Sea Ice,fraction_of_time_with_sea_ice_area_fraction_above_threshold,1,SImon,sitimefrac,TRUE
esm-diagnostic,SImon/siu,SImon/siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1,SImon,siu,TRUE
esm-diagnostic,SImon/siv,SImon/siv,Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,m s-1,SImon,siv,TRUE
esm-diagnostic,SImon/sivol,SImon/sivol,Sea-Ice Volume per Area,sea_ice_thickness,m,SImon,sivol,TRUE
